A̱o,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
1920,34.0,33.0,32.7,28.8,28.8,22.8,21.7,23.5,30.0,28.0,32.2,32.4
1921,34.5,32.3,33.0,28.2,24.5,22.3,25.4,27.5,26.5,29.0,34.0,33.3
1922,33.0,32.0,31.2,30.0,27.5,20.9,22.7,24.5,27.0,26.5,31.1,32.0
1923,33.3,32.0,30.6,29.2,27.4,26.5,22.3,21.7,25.2,26.0,31.2,32.2
1924,33.0,31.7,32.3,30.0,26.2,22.7,26.8,29.2,30.9,31.7,31.8,33.7
1925,34.5,32.0,31.4,28.0,26.2,23.8,22.4,27.2,25.4,30.0,32.4,33.3
1926,33.8,34.9,31.3,30.6,26.6,18.5,21.3,25.9,24.1,29.0,30.5,32.0
1927,33.0,32.5,31.0,28.8,27.6,23.5,23.8,26.7,23.7,29.0,32.2,32.4
1928,31.4,33.0,31.4,29.4,26.7,22.5,26.0,23.8,26.2,31.8,31.4,32.5
1929,34.0,32.2,31.8,29.7,28.0,23.5,24.0,21.7,24.7,26.2,30.7,31.1
1930,32.4,32.0,32.0,29.0,24.0,20.7,20.7,21.8,28.0,28.5,31.8,32.6
1931,32.8,33.2,31.5,27.0,26.3,22.5,21.6,24.0,24.5,31.5,33.5,33.6
1932,34.2,33.6,30.4,27.5,28.5,22.3,22.6,23.8,24.7,28.4,32.6,30.8
1933,31.7,31.3,29.1,28.4,24.1,21.1,20.0,24.0,26.9,29.4,30.9,32.5
1934,34.0,30.7,30.4,28.2,26.2,17.2,22.0,25.4,27.3,28.2,28.5,32.1
1935,33.7,30.0,29.6,27.7,26.0,19.4,20.5,25.3,24.7,30.7,30.1,33.5
1936,32.8,32.7,29.8,28.4,21.5,19.4,21.3,24.2,25.7,32.5,31.6,32.2
1937,34.9,34.0,33.0,30.2,26.0,22.0,22.8,24.5,28.0,29.1,29.5,32.0
1938,32.0,32.8,29.2,29.2,27.0,21.0,20.6,22.5,28.5,29.5,30.6,33.5
1939,32.6,32.3,31.0,30.0,27.4,24.6,22.5,24.4,31.0,27.4,30.7,32.5
1940,33.1,31.7,31.0,29.9,24.6,23.7,24.1,26.8,26.6,28.8,29.3,33.5
1941,33.5,30.6,29.6,30.6,22.0,21.4,22.7,23.0,25.5,33.3,30.0,33.5
1942,33.5,32.5,32.0,28.2,25.1,20.6,20.5,23.5,24.8,28.0,31.4,32.0
1943,34.0,33.2,30.6,29.2,25.0,18.2,21.5,22.5,27.7,28.6,31.7,32.5
1944,32.3,33.2,31.3,30.0,22.2,23.7,21.5,23.5,28.5,28.0,32.2,33.0
1945,34.0,30.0,30.7,29.6,26.5,24.8,20.6,26.0,28.5,31.1,31.5,35.4
1946,33.5,32.2,31.3,28.8,31.5,23.3,22.9,25.4,26.1,29.0,32.3,33.6
1947,34.3,32.2,31.6,29.4,24.9,19.8,22.4,24.8,25.5,30.0,30.2,33.6
1948,34.5,33.1,31.7,28.6,25.2,25.9,20.3,24.7,30.2,30.4,31.7,35.2
1949,33.7,33.5,31.4,31.0,25.0,19.0,22.0,24.0,27.5,32.4,31.3,33.2
1920,34.0,33.0,32.7,28.8,28.8,22.8,21.7,23.5,30.0,28.0,32.2,32.4
1921,34.5,32.3,33.0,28.2,24.5,22.3,25.4,27.5,26.5,29.0,34.0,33.3
1922,33.0,32.0,31.2,30.0,27.5,20.9,22.7,24.5,27.0,26.5,31.1,32.0
1923,33.3,32.0,30.6,29.2,27.4,26.5,22.3,21.7,25.2,26.0,31.2,32.2
1924,33.0,31.7,32.3,30.0,26.2,22.7,26.8,29.2,30.9,31.7,31.8,33.7
1925,34.5,32.0,31.4,28.0,26.2,23.8,22.4,27.2,25.4,30.0,32.4,33.3
1926,33.8,34.9,31.3,30.6,26.6,18.5,21.3,25.9,24.1,29.0,30.5,32.0
1927,33.0,32.5,31.0,28.8,27.6,23.5,23.8,26.7,23.7,29.0,32.2,32.4
1928,31.4,33.0,31.4,29.4,26.7,22.5,26.0,23.8,26.2,31.8,31.4,32.5
1929,34.0,32.2,31.8,29.7,28.0,23.5,24.0,21.7,24.7,26.2,30.7,31.1
1930,32.4,32.0,32.0,29.0,24.0,20.7,20.7,21.8,28.0,28.5,31.8,32.6
1931,32.8,33.2,31.5,27.0,26.3,22.5,21.6,24.0,24.5,31.5,33.5,33.6
1932,34.2,33.6,30.4,27.5,28.5,22.3,22.6,23.8,24.7,28.4,32.6,30.8
1933,31.7,31.3,29.1,28.4,24.1,21.1,20.0,24.0,26.9,29.4,30.9,32.5
1934,34.0,30.7,30.4,28.2,26.2,17.2,22.0,25.4,27.3,28.2,28.5,32.1
1935,33.7,30.0,29.6,27.7,26.0,19.4,20.5,25.3,24.7,30.7,30.1,33.5
1936,32.8,32.7,29.8,28.4,21.5,19.4,21.3,24.2,25.7,32.5,31.6,32.2
1937,34.9,34.0,33.0,30.2,26.0,22.0,22.8,24.5,28.0,29.1,29.5,32.0
1938,32.0,32.8,29.2,29.2,27.0,21.0,20.6,22.5,28.5,29.5,30.6,33.5
1939,32.6,32.3,31.0,30.0,27.4,24.6,22.5,24.4,31.0,27.4,30.7,32.5
1940,33.1,31.7,31.0,29.9,24.6,23.7,24.1,26.8,26.6,28.8,29.3,33.5
1941,33.5,30.6,29.6,30.6,22.0,21.4,22.7,23.0,25.5,33.3,30.0,33.5
1942,33.5,32.5,32.0,28.2,25.1,20.6,20.5,23.5,24.8,28.0,31.4,32.0
1943,34.0,33.2,30.6,29.2,25.0,18.2,21.5,22.5,27.7,28.6,31.7,32.5
1944,32.3,33.2,31.3,30.0,22.2,23.7,21.5,23.5,28.5,28.0,32.2,33.0
1945,34.0,30.0,30.7,29.6,26.5,24.8,20.6,26.0,28.5,31.1,31.5,35.4
1946,33.5,32.2,31.3,28.8,31.5,23.3,22.9,25.4,26.1,29.0,32.3,33.6
1947,34.3,32.2,31.6,29.4,24.9,19.8,22.4,24.8,25.5,30.0,30.2,33.6
1948,34.5,33.1,31.7,28.6,25.2,25.9,20.3,24.7,30.2,30.4,31.7,35.2
1949,33.7,33.5,31.4,31.0,25.0,19.0,22.0,24.0,27.5,32.4,31.3,33.2
1920,34.0,33.0,32.7,28.8,28.8,22.8,21.7,23.5,30.0,28.0,32.2,32.4
1921,34.5,32.3,33.0,28.2,24.5,22.3,25.4,27.5,26.5,29.0,34.0,33.3
1922,33.0,32.0,31.2,30.0,27.5,20.9,22.7,24.5,27.0,26.5,31.1,32.0
1923,33.3,32.0,30.6,29.2,27.4,26.5,22.3,21.7,25.2,26.0,31.2,32.2
1924,33.0,31.7,32.3,30.0,26.2,22.7,26.8,29.2,30.9,31.7,31.8,33.7
1925,34.5,32.0,31.4,28.0,26.2,23.8,22.4,27.2,25.4,30.0,32.4,33.3
1926,33.8,34.9,31.3,30.6,26.6,18.5,21.3,25.9,24.1,29.0,30.5,32.0
1927,33.0,32.5,31.0,28.8,27.6,23.5,23.8,26.7,23.7,29.0,32.2,32.4
1928,31.4,33.0,31.4,29.4,26.7,22.5,26.0,23.8,26.2,31.8,31.4,32.5
1929,34.0,32.2,31.8,29.7,28.0,23.5,24.0,21.7,24.7,26.2,30.7,31.1
1930,32.4,32.0,32.0,29.0,24.0,20.7,20.7,21.8,28.0,28.5,31.8,32.6
1931,32.8,33.2,31.5,27.0,26.3,22.5,21.6,24.0,24.5,31.5,33.5,33.6
1932,34.2,33.6,30.4,27.5,28.5,22.3,22.6,23.8,24.7,28.4,32.6,30.8
1933,31.7,31.3,29.1,28.4,24.1,21.1,20.0,24.0,26.9,29.4,30.9,32.5
1934,34.0,30.7,30.4,28.2,26.2,17.2,22.0,25.4,27.3,28.2,28.5,32.1
1935,33.7,30.0,29.6,27.7,26.0,19.4,20.5,25.3,24.7,30.7,30.1,33.5
1936,32.8,32.7,29.8,28.4,21.5,19.4,21.3,24.2,25.7,32.5,31.6,32.2
1937,34.9,34.0,33.0,30.2,26.0,22.0,22.8,24.5,28.0,29.1,29.5,32.0
1938,32.0,32.8,29.2,29.2,27.0,21.0,20.6,22.5,28.5,29.5,30.6,33.5
1939,32.6,32.3,31.0,30.0,27.4,24.6,22.5,24.4,31.0,27.4,30.7,32.5
1940,33.1,31.7,31.0,29.9,24.6,23.7,24.1,26.8,26.6,28.8,29.3,33.5
1941,33.5,30.6,29.6,30.6,22.0,21.4,22.7,23.0,25.5,33.3,30.0,33.5
1942,33.5,32.5,32.0,28.2,25.1,20.6,20.5,23.5,24.8,28.0,31.4,32.0
1943,34.0,33.2,30.6,29.2,25.0,18.2,21.5,22.5,27.7,28.6,31.7,32.5
1944,32.3,33.2,31.3,30.0,22.2,23.7,21.5,23.5,28.5,28.0,32.2,33.0
1945,34.0,30.0,30.7,29.6,26.5,24.8,20.6,26.0,28.5,31.1,31.5,35.4
1946,33.5,32.2,31.3,28.8,31.5,23.3,22.9,25.4,26.1,29.0,32.3,33.6
1947,34.3,32.2,31.6,29.4,24.9,19.8,22.4,24.8,25.5,30.0,30.2,33.6
1948,34.5,33.1,31.7,28.6,25.2,25.9,20.3,24.7,30.2,30.4,31.7,35.2
1949,33.7,33.5,31.4,31.0,25.0,19.0,22.0,24.0,27.5,32.4,31.3,33.2
1950,32.3,33.4,31.0,29.4,25.0,18.9,21.5,24.5,29.1,28.6,31.4,31.8
1951,31.7,32.5,30.5,31.5,27.0,20.0,22.5,25.0,31.4,31.0,31.0,33.0
1952,34.5,34.7,32.5,30.5,28.4,19.5,19.8,26.2,26.6,30.5,34.2,35.0
1953,33.3,33.3,31.1,31.4,23.3,18.8,20.9,22.1,25.1,26.6,33.2,34.1
1954,34.5,33.8,32.9,28.5,22.6,19.6,17.8,26.8,25.4,28.9,32.7,33.0
1955,33.5,34.5,31.5,28.9,27.1,21.5,21.2,21.9,28.6,27.3,34.0,32.4
1956,32.4,35.2,32.9,27.3,25.0,21.2,25.0,23.8,27.3,28.9,31.7,34.7
1957,33.1,33.6,32.1,29.3,27.5,23.1,22.3,23.2,28.9,29.7,32.6,33.2
1958,33.5,35.0,31.3,32.1,25.8,19.6,20.6,23.8,26.8,29.0,30.9,32.6
1959,33.8,34.8,32.0,23.4,25.1,21.8,20.4,22.8,28.2,29.6,31.6,32.8
1960,31.8,33.3,32.0,29.0,24.8,20.8,17.5,26.9,27.1,28.2,33.0,35.0
1961,34.2,33.4,31.6,27.7,27.5,21.7,22.8,23.8,26.7,30.8,31.8,32.2
1962,32.9,31.5,32.4,29.8,28.4,24.2,22.5,24.8,28.6,29.5,32.5,33.5
1963,33.2,33.5,31.0,30.3,26.2,23.4,22.5,22.0,26.5,27.2,29.4,32.9
1964,33.0,31.5,31.0,26.0,27.8,21.0,22.3,23.0,31.4,30.9,31.1,33.0
1965,33.7,33.5,32.8,30.0,25.1,26.3,20.2,22.7,27.7,30.5,30.4,31.6
1966,33.0,31.5,32.2,26.3,26.0,24.8,20.6,25.2,27.4,29.6,31.4,32.1
1967,33.9,32.0,31.6,32.2,27.5,21.3,22.6,23.6,25.8,29.4,32.8,34.1
1968,35.2,33.6,29.6,29.9,26.5,22.4,26.6,26.3,30.0,27.9,33.2,32.9
1969,34.4,33.1,33.2,31.4,25.0,20.9,24.1,26.4,30.0,29.7,31.0,34.0
1970,34.5,34.8,33.3,31.0,28.4,18.6,22.4,23.4,25.4,28.2,30.9,33.6
1971,34.2,32.4,32.6,28.8,27.1,20.6,21.4,23.4,25.4,29.7,31.7,32.6
1972,33.0,34.4,30.6,31.4,26.6,21.4,23.0,24.2,27.7,29.2,29.4,33.1
1973,34.3,34.2,33.4,31.0,24.2,22.4,21.8,31.0,28.4,29.8,32.6,32.4
1974,32.4,31.2,31.5,31.2,26.2,21.8,23.4,27.2,29.0,29.4,31.3,31.2
1975,31.7,31.1,31.2,29.0,25.4,22.3,23.8,27.4,26.3,31.0,29.8,33.2
1976,32.4,30.2,30.8,30.8,24.9,23.0,24.2,25.4,26.8,28.3,31.7,34.2
1977,35.6,33.1,34.8,29.2,27.2,23.6,19.0,23.0,29.2,30.3,31.3,31.6
1978,33.4,33.6,35.2,29.3,28.5,20.8,21.7,27.8,29.0,29.4,33.6,35.0
1979,32.4,35.9,30.6,29.7,25.3,22.1,26.2,24.8,27.8,31.1,32.1,33.8
1980,34.2,32.3,33.6,26.1,25.6,23.0,24.9,27.3,28.1,32.6,32.8,34.1
1981,32.3,33.3,33.6,30.1,24.5,22.5,23.9,26.5,28.6,28.5,30.9,34.0
1982,34.4,31.8,32.5,29.4,27.0,21.7,22.4,26.8,26.8,29.8,31.2,34.8
1983,34.9,34.4,33.2,31.8,26.2,18.0,18.8,25.8,28.1,31.3,32.1,34.9
1984,33.3,32.7,32.0,31.4,21.5,20.1,25.4,25.4,27.2,28.7,31.2,32.0
1985,33.2,32.5,31.6,28.8,26.2,25.2,22.0,26.4,29.3,29.7,31.7,33.4
1986,34.6,33.1,32.9,29.8,28.1,21.2,26.0,25.2,27.7,33.0,34.2,33.6
1987,34.7,34.8,32.4,31.4,24.4,26.8,24.4,24.0,28.1,29.1,33.0,34.0
1988,32.6,34.4,31.4,30.8,23.6,22.4,24.5,27.1,28.8,31.3,33.6,33.6
1989,34.6,34.2,31.0,28.8,26.0,24.2,28.3,25.8,28.2,31.3,33.0,32.6
1990,34.4,33.5,31.3,29.6,28.4,26.9,28.3,25.4,28.5,27.8,33.2,33.2
1991,33.8,33.8,32.0,29.4,28.4,25.0,20.6,25.0,29.4,29.6,31.5,34.4
1992,34.6,33.0,33.3,27.0,23.2,20.8,19.6,26.6,29.8,29.4,33.3,32.8
1993,32.5,33.5,32.6,31.5,23.4,23.8,20.1,27.0,27.6,30.0,32.2,33.6
1994,34.7,32.5,32.8,28.7,27.4,25.0,21.8,23.9,30.8,29.7,31.2,34.6
1995,34.2,32.6,31.6,32.0,28.4,24.8,22.4,26.0,28.7,30.2,31.8,33.1
1996,33.1,34.0,32.6,28.8,27.2,23.8,26.8,27.0,32.6,31.0,33.4,33.0
1997,34.0,34.8,34.8,31.8,30.4,20.2,22.4,28.7,31.6,27.1,30.7,33.2
1998,36.6,34.8,31.8,31.8,27.5,23.4,23.2,29.8,29.2,31.6,32.1,35.4
1999,33.8,33.3,31.2,27.6,26.9,20.4,25.2,24.7,26.4,29.4,31.3,31.6
2000,34.1,31.7,31.0,30.4,24.2,21.0,23.0,25.6,28.0,31.6,31.8,33.6
2001,34.0,33.5,31.8,29.4,28.0,24.0,24.6,28.2,27.0,28.2,31.8,34.4
2002,33.4,33.6,32.0,27.8,30.8,22.4,26.0,24.0,25.8,29.0,32.4,33.2
2003,36.4,34.0,32.3,31.9,28.6,24.2,24.2,28.3,27.8,31.8,31.5,33.2
2004,32.6,33.4,34.2,28.5,27.0,22.6,23.5,27.6,29.6,29.0,31.4,32.6
2005,35.2,35.9,33.5,30.0,24.1,21.0,23.3,25.6,24.6,31.9,31.1,34.0
2006,36.3,32.6,31.4,29.4,26.7,23.0,25.5,28.4,31.0,30.0,33.8,34.8
2007,34.5,33.2,33.7,30.4,25.0,26.7,22.0,25.2,26.8,31.2,34.8,33.6
2008,34.8,33.8,31.6,30.4,25.2,23.3,22.1,26.6,30.7,28.9,32.0,34.2
2009,34.2,34.6,34.0,30.5,26.3,26.0,22.8,27.4,25.8,33.1,31.1,34.3
2010,35.4,33.4,34.0,30.8,29.3,23.0,22.0,25.0,27.8,30.8,33.8,33.5
2011,34.0,34.6,32.4,32.0,28.0,23.7,25.8,29.8,31.2,30.6,34.0,33.6
2012,34.0,34.9,35.2,31.0,28.0,24.0,28.4,25.5,29.8,29.1,32.6,32.8
2013,35.8,35.7,33.0,32.1,28.1,25.0,26.5,30.8,29.7,30.9,33.9,34.3
2014,35.2,33.6,34.7,31.1,27.7,26.2,26.1,31.0,29.5,32.1,32.0,34.9
2015,35.9,35.9,36.2,33.0,31.6,25.5,24.5,27.5,28.6,26.9,32.4,35.3
2016,35.6,34.5,35.0,27.2,27.1,25.0,23.1,26.8,32.0,31.6,34.8,37.3
2017,37.4,34.9,34.9,32.0,27.6,21.3,25.4,26.3,31.5,29.3,33.0,34.5
2018,34.9,35.4,32.6,27.9,25.8,27.3,24.0,28.2,31.3,28.9,34.5,33.4
2019,38.3,36.2,31.9,32.4,28.2,22.4,24.6,29.0,28.8,33.1,34.9,36.7
2020,34.5,35.0,35.0,33.9,30.7,24.3,23.8,25.8,28.3,31.2,33.2,33.5
2021,33.1,33.6,33.8,31.4,27.3,25.7,27.9,27.9,32.2,33.4,33.6,34.3
2022,33.6,34.9,33.0,30.4,27.2,24.7,22.3,30.5,29.2,29.6,33.9,36.7
2023,34.4,35.8,34.1,32.5,29.0,26.9,26.1,27.4,26.3,27.9,32.8,35.7
2024,37.3,36.1,32.7,32.1,22.5,21.5,25.6,25.8,28.0,34.3,32.2,35.6
