A̱o,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
2006,,11,10,6,4,3.0,3,5,8,10,12,14.0
2007,12.0,11,9,6,4,3.0,3,4,7,10,11,12.0
2008,12.0,11,10,6,4,3.0,3,5,6,10,10,12.0
2009,12.0,12,10,6,4,3.0,3,5,6,9,12,14.0
2010,12.0,11,9,6,4,3.0,3,5,7,9,13,14.0
2011,15.0,14,11,7,5,3.0,3,6,9,11,13,14.0
2012,13.0,12,11,7,5,3.0,3,5,7,11,14,17.0
2013,15.0,14,11,7,6,4.0,4,7,9,13,14,14.0
2014,14.0,12,10,7,4,4.0,4,5,7,10,12,13.0
2015,14.0,11,10,7,8,8.0,4,6,8,10,12,13.0
2016,14.0,12,9,7,5,3.0,4,5,13,10,12,13.0
2017,14.0,11,11,7,5,3.0,3,5,8,10,11,13.0
2018,12.0,12,10,7,5,3.0,3,5,8,10,12,14.0
2019,14.0,12,10,8,5,4.0,4,6,8,10,13,13.0
2020,13.0,12,10,8,5,4.0,4,6,9,11,12,14.0
2021,14.0,13,10,8,5,4.0,4,6,8,10,12,14.0
2022,14.0,13,11,7,5,4.0,4,6,8,11,13,14.0
2023,13.0,13,11,8,5,4.0,4,6,8,10,12,13.0
2024,13.0,13,11,7,5,3.0,4,6,8,10,11,14.0
2025,15.0,13,11,7,5,3.0,3,5,7,10,12,14.0
