A̱os,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
2025,0.0,0.0,5.4,0.5,61.3,71.2,23.3,46.0,15.3,3.6,4.3,,226.6
2024,0.0,2.8,0.0,0.2,112.4,183.1,0.0,80.6,5.9,10.0,0.0,0.0,395.0
2023,0.0,0.0,0.0,8.6,5.0,51.9,45.7,89.8,76.8,4.5,28.4,0.0,310.7
2022,0.0,0.1,0.0,28.8,0.0,27.5,69.0,23.1,8.1,0.0,4.3,0.1,161.0
2021,40.0,0.0,0.0,0.0,15.2,22.2,0.5,18.5,10.6,6.2,0.0,0.0,113.2
2020,0.0,0.0,0.0,2.5,3.6,110.1,64.6,6.9,0.0,0.0,0.0,0.0,187.7
2019,0.0,0.0,1.4,0.2,5.8,45.9,13.3,0.0,11.7,3.7,0.0,0.0,82.0
2018,0.0,0.0,1.7,0.0,13.0,45.8,49.6,10.5,27.5,1.8,0.4,1.1,151.4
2017,0.0,0.0,0.0,5.6,55.6,73.2,30.7,50.3,27.2,35.5,0.1,0.0,278.2
2016,10.2,0.0,0.0,109.0,20.5,38.4,50.2,0.0,0.4,16.2,0.0,23.6,268.5
2015,0.0,2.5,7.4,0.0,2.0,0.0,37.1,111.4,23.7,27.7,4.5,0.0,216.3
2014,0.0,0.0,0.0,0.0,8.9,75.2,34.5,46.5,31.1,0.1,5.8,1.2,203.3
2013,0.0,0.0,0.0,0.0,96.0,34.6,3.7,24.4,6.4,0.0,0.0,0.0,165.1
2012,0.0,0.0,0.0,9.6,33.9,69.5,2.0,35.8,1.9,41.3,0.0,21.5,215.5
2011,0.0,3.1,0.2,13.0,0.0,55.8,43.2,27.6,1.9,2.5,0.0,0.0,147.3
2010,0.0,0.0,0.0,0.3,65.8,75.6,26.6,6.9,37.5,13.6,36.8,0.0,263.1
2009,0.0,1.0,0.0,0.0,7.0,103.1,14.3,97.5,47.4,6.5,0.0,0.0,276.8
2008,0.0,0.0,12.6,7.5,109.9,51.0,34.7,130.8,4.3,0.0,0.0,0.0,350.8
2007,0.0,14.0,1.6,0.0,16.3,69.9,35.4,29.6,1.0,0.0,0.6,0.0,168.4
2006,0.0,0.0,0.0,1.5,7.3,79.8,130.0,50.3,1.1,64.5,1.1,0.0,335.6
2005,0.0,0.0,22.3,5.7,54.4,146.0,27.8,137.3,16.6,15.4,9.4,0.0,434.9
2004,0.0,0.0,18.7,39.2,16.4,44.1,95.2,55.9,23.7,1.7,58.9,0.0,353.8
2003,5.0,0.0,0.2,0.0,79.7,31.5,73.4,6.9,14.5,0.0,13.7,0.0,224.9
2002,0.0,0.0,1.7,13.6,137.9,247.5,92.3,74.2,28.3,4.0,0.0,1.3,600.8
2001,0.0,0.0,9.9,16.1,32.3,0.3,186.6,50.2,15.8,0.7,0.0,0.0,311.9
2000,0.0,14.7,0.0,17.6,20.0,261.5,28.5,0.5,116.5,13.6,1.0,0.0,473.9
1999,0.0,0.1,19.7,12.9,0.9,31.2,43.4,109.9,100.1,23.6,0.0,1.4,343.2
1998,0.0,4.3,0.0,32.7,13.8,22.6,0.2,0.6,15.1,0.0,0.0,0.0,89.3
1997,0.0,0.0,13.5,0.5,126.1,259.0,60.2,98.9,85.5,60.1,3.6,1.9,709.3
1996,1.8,0.0,0.0,54.0,14.7,31.7,25.2,29.8,2.2,3.7,0.0,0.9,164.0
1995,0.6,0.0,0.0,18.7,8.6,47.2,54.8,22.3,19.6,0.6,0.1,0.0,172.5
1994,0.0,0.0,0.0,19.3,44.5,44.5,82.7,16.5,17.6,3.5,0.0,7.4,236.0
1993,0.0,0.0,0.0,101.7,80.2,34.7,52.2,30.7,7.1,7.6,2.3,0.2,316.7
1992,0.0,0.5,13.2,41.0,129.5,170.3,23.3,57.7,20.7,0.0,7.8,0.0,464.0
1991,0.0,0.0,0.0,1.9,72.2,112.6,94.7,3.2,52.5,13.7,0.0,28.8,379.6
1990,0.0,0.0,11.9,1.1,6.4,1.6,75.1,70.3,23.4,15.7,0.0,0.3,205.8
1989,0.0,0.0,0.0,38.2,25.0,17.7,95.1,108.7,15.5,1.9,0.4,0.0,302.5
1988,0.0,0.0,6.0,0.0,5.0,12.0,33.1,52.7,10.2,0.0,16.6,4.0,139.6
1987,0.0,0.2,0.1,10.5,46.4,36.7,354.9,182.3,16.2,64.8,0.0,0.0,712.1
1986,0.0,0.0,0.0,26.1,90.0,108.3,0.6,53.9,3.1,3.4,25.9,0.0,311.3
1985,0.2,0.0,27.2,0.2,37.4,19.7,67.6,7.7,6.5,19.7,0.0,0.0,186.2
1984,0.0,0.0,2.0,1.4,65.5,40.5,245.9,48.6,24.4,20.9,6.3,0.0,455.5
1983,9.4,0.6,0.0,24.5,57.5,103.0,89.8,44.5,34.9,0.6,0.3,0.0,365.1
1982,0.0,0.0,14.6,0.8,111.0,275.5,102.9,64.8,39.5,14.3,0.0,0.0,623.4
1981,0.0,3.8,6.9,0.7,183.0,20.0,30.0,11.0,14.5,11.5,0.5,0.0,281.9
1980,0.6,21.2,0.0,48.6,44.9,60.3,63.9,14.1,61.8,0.2,5.2,0.0,320.8
1979,0.0,0.0,0.0,6.0,12.7,0.7,91.9,27.5,42.9,0.0,26.1,12.7,220.5
1978,0.0,0.0,0.0,0.0,19.1,54.5,188.8,14.9,26.1,0.4,82.5,1.0,387.3
1977,0.0,0.0,0.0,20.5,28.9,123.1,138.3,48.2,1.5,21.1,31.0,0.0,412.6
1976,0.0,0.8,5.8,1.6,18.4,51.9,6.5,34.8,16.5,41.0,13.2,0.0,190.5
1975,0.0,0.0,0.0,14.9,18.3,2.5,84.0,20.1,1.1,0.0,15.3,0.0,156.2
1974,0.0,0.0,0.0,0.0,100.8,227.6,35.3,14.1,22.0,0.0,17.7,0.0,417.5
1973,0.0,0.0,0.0,4.0,24.2,37.4,77.6,0.7,6.0,33.4,0.2,0.0,183.5
1972,6.0,0.0,2.2,4.0,149.2,165.8,52.6,142.5,49.4,16.6,7.0,0.0,595.3
1971,1.6,0.0,0.0,4.4,33.0,143.4,29.4,30.8,10.7,29.9,0.0,2.1,285.3
1970,0.0,0.0,0.0,0.0,84.1,34.7,165.7,12.7,35.9,25.1,0.0,0.0,358.2
1969,0.0,3.0,0.0,19.9,22.5,62.6,22.1,45.8,1.6,0.0,0.8,0.0,178.3
1968,,,,,,,,,,,,,
1967,,0.0,0.0,0.0,12.4,35.9,45.3,19.4,1.4,17.0,0.0,,48.3
1966,,,,,,,,,,,,,
1965,,,,,,,,,,,,,
1964,,,,,,,,,,,,,
1963,,,,,,,,,,,,,
1962,,,,,,,,,,,,,
1961,,,,,,,,,,,,,
1960,,,,,,,,,,,,,
1959,,,,,,,,,,,,,
1958,,,,,,,,,,,,,
1957,,,,,,,,,,,,,
1956,,,,,,,,,,,,,
1955,,,,,,,,,,,,,
1954,,,,,,,,,,,,,
1953,,,,,,,,,,,,,
1952,,,,,,,,,,,,,
1951,,,,,,,,,,,,,
1950,,,,,,,,,,,,,
1949,,,,,,,,,,,,,
1948,,,,,,,,,,,,,
1947,,,,,,,,,,,,,
1946,,,,,,,,,,,,,
1945,,,,,,,,,,,,,
1944,,,,,,,,,,,,,
1943,,,,,,,,,,,,,
1942,,,,,,,,,,,,,
1941,,,,,,,,,,,,,
1940,,,,,,,,,,,,,
1939,,,,,,,,,,,,,
1938,,,,,,,,,,,,,
1937,,,,,,,,,,,,,
1936,,,,,,,,,,,,,
1935,,,,,,,,,,,,,
1934,,,,,,,,,,,,,
1933,,,,,,,,,,,,,
1932,,,,,,,,,,,,,
1931,,,,,,,,,,,,,
1930,,,,,,,,,,,,,
1929,,,,,,,,,,,,,
1928,,,,,,,,,,,,,
1927,,,,,,,,,,,,,
1926,,,,,,,,,,,,,
1925,,,,,,,,,,,,,
1924,,,,,,,,,,,,,
1923,,,,,,,,,,,,,
1922,,,,,,,,,,,,,
1921,,,,,,,,,,,,,
1920,,,,,,,,,,,,,
1919,,,,,,,,,,,,,
1918,,,,,,,,,,,,,
1917,,,,,,,,,,,,,
1916,5.9,0.0,15.9,7.3,22.4,6.1,86.1,33.0,23.8,0.8,22.8,0.9,225.0
1915,0.1,3.5,1.3,21.3,110.4,77.3,,9.3,2.1,2.1,0.3,0.0,227.7
1914,0.0,0.0,0.0,6.4,21.7,245.1,125.0,72.7,103.5,58.5,70.6,0.0,703.5
